artist_name,track_name,,,,,,,,,,,,,,,
Henri Salvador,C'est beau de faire un Show,,,,,,,,,,,,,,,
Martin & les fées,Perdu d'avance (par Gad Elmaleh),,,,,,,,,,,,,,,
Joseph Williams,Don't Let Me Be Lonely Tonight,,,,,,,,,,,,,,,
Henri Salvador,Dis-moi Monsieur Gordon Cooper,,,,,,,,,,,,,,,
Fabien Nataf,Ouverture,,,,,,,,,,,,,,,
Henri Salvador,Le petit souper aux chandelles,,,,,,,,,,,,,,,
Martin & les fées,"Premières recherches (par Paul Ventimila, Lorie Pester, Véronique Jannot, Michèle Laroque & Gérard Lenorman)",,,,,,,,,,,,,,,
Laura Mayne,Let Me Let Go,,,,,,,,,,,,,,,
Chorus,Helka,,,,,,,,,,,,,,,
Le Club des Juniors,Les bisous des bisounours,,,,,,,,,,,,,,,
Leopold Stokowski,Symphony No.4 In E Minor Op.98 : IV. Allegro Energico E Passionato,,,,,,,,,,,,,,,
Randy Newman,The Hanging (Maverick - Original Motion Picture Score) - Remastered,,,,,,,,,,,,,,,
Idoles De La Musique,J'ai demandé à la lune,,,,,,,,,,,,,,,
Chorus,Mangala Aarti,,,,,,,,,,,,,,,
Richard M. Sherman,Keys of Love,,,,,,,,,,,,,,,
Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 6,,,,,,,,,,,,,,,
Jean Claude Corbel,Diane,,,,,,,,,,,,,,,
Bernard Minet,Ultra Man 80,,,,,,,,,,,,,,,
Henri Salvador,Veunise,,,,,,,,,,,,,,,
Amalya,Ladies And Gentlemen,,,,,,,,,,,,,,,
Martin & les fées,"Tout est possible (par Anggun, Dany Brillant, Garou, Gérard Lenorman, Julie Zenatti, Lisa Angell, Lorie Pester, Natasha St-Pier, Patrick Fiori, Paul Ventimila, Sara Carreira, Veronique Jannot & Vincent Niclo)",,,,,,,,,,,,,,,
Dorothée,Clic clac cloc,,,,,,,,,,,,,,,
Henri Salvador,Monsieur Boum Boum,,,,,,,,,,,,,,,
Jean Claude Corbel,Pourquoi aller plus loin ?,,,,,,,,,,,,,,,
Henri Salvador,Quand je monte chez toi,,,,,,,,,,,,,,,
Jean Piat,Comme minuit sonnait,,,,,,,,,,,,,,,
Henri Salvador,Le Fêtard,,,,,,,,,,,,,,,
Lucie Dolene,Le mariage des poupées,,,,,,,,,,,,,,,
Henri Salvador,Une chanson douce,,,,,,,,,,,,,,,
Chorus,Mangani – Do Banjare / Amba Heth,,,,,,,,,,,,,,,
Chorus,A ty si? ?miejesz ze mnie,,,,,,,,,,,,,,,
Martin & les fées,Une journée d'école qui s'achève (par Véronique Jannot),,,,,,,,,,,,,,,
Henri Salvador,C Est Le Be Bop,,,,,,,,,,,,,,,
Henri Salvador,La Samba De Là-Bas,,,,,,,,,,,,,,,
Chorus,Ambarsare Diyan Warhiyan,,,,,,,,,,,,,,,
Henri Salvador,Silence on tourne,,,,,,,,,,,,,,,
Chorus,For the Game,,,,,,,,,,,,,,,
Henri Salvador,Quand un artiste - live,,,,,,,,,,,,,,,
Richard M. Sherman,Afterglow,,,,,,,,,,,,,,,
Larry Groce,"Sailing, Sailing",,,,,,,,,,,,,,,
Chorus,Tehni Pe Kisi Shajar,,,,,,,,,,,,,,,
Leopold Stokowski,"Bourrée, From English Suite No. 2, BWV 807",,,,,,,,,,,,,,,
Henri Salvador,La Vie grise,,,,,,,,,,,,,,,
Patrick Rocca,To Be or Not to Be,,,,,,,,,,,,,,,
Ken Page,Dancing with Gene,,,,,,,,,,,,,,,
Ken Page,Penn Station - Seesaw,,,,,,,,,,,,,,,
Bernard Minet,Dragon Ball GT,,,,,,,,,,,,,,,
Debbie Davis,I'll Feel Much Better When You Cry,,,,,,,,,,,,,,,
Henri Salvador,"La samba de là-bas (De l'opérette ""Le Chevalier Bayard"")",,,,,,,,,,,,,,,
Dorothée,J'ai retrouvé ma valise,,,,,,,,,,,,,,,
Claire Guyot,Le silence,,,,,,,,,,,,,,,
Chantal Goya,Animauxville (Départ) - Live,,,,,,,,,,,,,,,
Henri Salvador,Sketch producteur (suite),,,,,,,,,,,,,,,
Lucie Dolene,Sphinx,,,,,,,,,,,,,,,
Jean Piat,L'Âne chargé d'éponges et l'Âne chargé de sel,,,,,,,,,,,,,,,
Justin Hurwitz,"Rialto - From ""La La Land"" Score",,,,,,,,,,,,,,,
Chorus,Stous athanatous nekrous (To Immortal Deads),,,,,,,,,,,,,,,
Henri Salvador,Bon Dieu qu'elle est con - live,,,,,,,,,,,,,,,
Randy Newman,Jack To The Rescue - Meet The Parents/Soundtrack,,,,,,,,,,,,,,,
Chorus,Shree Ram Chant,,,,,,,,,,,,,,,
Marie Ruggieri,"Oh quel chien/Il se traîne - From ""Lady and the Tramp""/French Soundtrack Version",,,,,,,,,,,,,,,
Chorus,Mangal Aarti,,,,,,,,,,,,,,,
Henri Salvador,Malgré tes serments,,,,,,,,,,,,,,,
Henri Salvador,Audustin ! Y'a quelqu'un qui te demande,,,,,,,,,,,,,,,
Chorus,Nadipinche Naa Naayaka,,,,,,,,,,,,,,,
Karine Costa,Super Insomniaque,,,,,,,,,,,,,,,
Henri Salvador,Papa loves mambo,,,,,,,,,,,,,,,
Chorus,Om Jayanti Mangla,,,,,,,,,,,,,,,
Dorothée,J'ai vidé ma valise,,,,,,,,,,,,,,,
Chorus,Takhti Par Takhti,,,,,,,,,,,,,,,
Fabien Nataf,I Try,,,,,,,,,,,,,,,
Pascal Laffarge,Il pleut bergère,,,,,,,,,,,,,,,
Frank Churchill,Snow White: Taas paiva kaunein on (Some Day My Prince Will Come),,,,,,,,,,,,,,,
Chorus,Baaramma - Bit,,,,,,,,,,,,,,,
Jean Claude Corbel,Le Vilain Petit Canard 2,,,,,,,,,,,,,,,
Jean Claude Corbel,Les poissons voyageurs,,,,,,,,,,,,,,,
Dominique Tirmont,La Toulousaine,,,,,,,,,,,,,,,
Henri Salvador,Monsieur Le Bon Dieu,,,,,,,,,,,,,,,
Jean Claude Corbel,Le voyage à Lilliput,,,,,,,,,,,,,,,
Jean Claude Corbel,Le Chat Botté 4,,,,,,,,,,,,,,,
Chorus,Tsamikos Horos (Tsamikos Dance),,,,,,,,,,,,,,,
Chorus,Lalitha Parameshwari,,,,,,,,,,,,,,,
Jean Claude Corbel,Le Petit Poucet 2,,,,,,,,,,,,,,,
Leopold Stokowski,"We All Believe In One God, Giant Fugue, BWV 680",,,,,,,,,,,,,,,
Dominique Tirmont,La petite diligence,,,,,,,,,,,,,,,
Debbie Davis,Rap-a-Cito,,,,,,,,,,,,,,,
Chorus,Thandeye Oh,,,,,,,,,,,,,,,
Chorus,Banga Aamar,,,,,,,,,,,,,,,
Bernard Minet,Dis-moi monsieur Bernard Minet,,,,,,,,,,,,,,,
Chorus,Sai Parameshwar Sai Karuneshwar,,,,,,,,,,,,,,,
Chorus,Shanthi Koru,,,,,,,,,,,,,,,
Chorus,Aa Divyanaama,,,,,,,,,,,,,,,
Martin & les fées,Le plus beau de tes rêves (par Anggun),,,,,,,,,,,,,,,
Henri Salvador,Chanson surrealiste,,,,,,,,,,,,,,,
Henri Salvador,Grosse Fille Ne Pleure Pas - Remastered,,,,,,,,,,,,,,,
Claire Guyot,Assise au bord du monde,,,,,,,,,,,,,,,
Chorus,Koti Chennaya(Vol.1 &amp; 2),,,,,,,,,,,,,,,
Henri Salvador,"Dis-moi qu'tu m'aimes, rock",,,,,,,,,,,,,,,
Richard M. Sherman,Forgotten Dreams,,,,,,,,,,,,,,,
Chorus,High (feat. Syross & Messieh),,,,,,,,,,,,,,,
Chorus,Kaisi Anokhi Mehfil,,,,,,,,,,,,,,,
Henri Salvador,24 heures par jour,,,,,,,,,,,,,,,
Choeurs,Georges Bizet : Sur la place,,,,,,,,,,,,,,,
Chorus,Daivapithave,,,,,,,,,,,,,,,
Chorus,Ven a una nave espacial,,,,,,,,,,,,,,,
Henri Salvador,Bon appétit mademoiselle,,,,,,,,,,,,,,,
Chorus,Shri Gayatri Mahamantra,,,,,,,,,,,,,,,
Larry Groce,Choices,,,,,,,,,,,,,,,
Leopold Stokowski,Symphony No.1 In C Major : IV. Allegro Vivace,,,,,,,,,,,,,,,
Debbie Davis,You Know I'm No Good,,,,,,,,,,,,,,,
Chorus,Czy Pami?tasz,,,,,,,,,,,,,,,
Les Hérissons,Mabrouka Ananas ma Nana,,,,,,,,,,,,,,,
Henri Salvador,Cherche la rose,,,,,,,,,,,,,,,
Chorus,I Denne Søte Juletid: Kom La Oss Gå Og Se!,,,,,,,,,,,,,,,
Michel Roux,Les aventures d'Arsène Lupin: 813 - Partie 5,,,,,,,,,,,,,,,
Debbie Davis,Mele Kalikimaka,,,,,,,,,,,,,,,
Chorus,Swami Samartha Majhe Aai,,,,,,,,,,,,,,,
Randy Newman,This Is Gonna Be Good,,,,,,,,,,,,,,,
Idoles De La Musique,Marie,,,,,,,,,,,,,,,
Jean Claude Corbel,Tom Pouce 1,,,,,,,,,,,,,,,
Jean Claude Corbel,Les premiers mammifères,,,,,,,,,,,,,,,
Martin & les fées,"Une énigmatique jeune femme blonde (par Véronique Jannot, Paul Ventimila & Arielle Dombasle)",,,,,,,,,,,,,,,
Bernard Minet,Juliette je t'aime - Générique,,,,,,,,,,,,,,,
