,Track,Artist,Genre,Key,Mode,Tempo
9027,7 rings,Ariana Grande,Dance,C#,Minor,70
9026,"break up with your girlfriend, i'm bored",Ariana Grande,Dance,F,Minor,170
86951,Wow.,Post Malone,Rap,B,Minor,100
66643,Con Calma,Daddy Yankee,Hip-Hop,G#,Minor,94
86953,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,Rap,D,Major,90
9028,Without Me,Halsey,Dance,F#,Major,136
107812,Happier,Marshmello,Pop,F,Major,100
9037,Sweet but Psycho,Ava Max,Dance,C#,Major,133
107810,Dancing With A Stranger (with Normani),Sam Smith,Pop,G#,Major,103
107875,Calma - Remix,Pedro Capó,Pop,B,Minor,127
66607,MIDDLE CHILD,J. Cole,Hip-Hop,G#,Major,124
138916,Secreto,Anuel Aa,Reggaeton,B,Major,92
9048,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,Dance,C#,Minor,96
107838,High Hopes,Panic! At The Disco,Pop,F,Major,82
66741,Adan y Eva,Paulo Londra,Hip-Hop,C#,Major,172
9040,Shallow,Lady Gaga,Dance,G,Major,96
9031,"thank u, next",Ariana Grande,Dance,C#,Major,107
138917,Baila Baila Baila,Ozuna,Reggaeton,B,Minor,100
138915,MIA (feat. Drake),Bad Bunny,Reggaeton,F#,Minor,97
66608,Going Bad (feat. Drake),Meek Mill,Hip-Hop,E,Minor,86
107809,Talk,Khalid,Pop,C,Major,136
9063,Giant (with Rag'n'Bone Man),Calvin Harris,Dance,C#,Minor,122
86954,SICKO MODE,Travis Scott,Rap,G#,Major,155
66615,ZEZE (feat. Travis Scott & Offset),Kodak Black,Hip-Hop,G#,Minor,98
86965,Better Now,Post Malone,Rap,A#,Major,145
66609,a lot,21 Savage,Hip-Hop,C#,Major,146
86956,Thotiana,Blueface,Rap,A#,Minor,104
107988,Desconocidos,Mau y Ricky,Pop,G,Major,174
9036,i'm so tired...,Lauv,Dance,B,Major,102
9059,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,Dance,C#,Minor,144
